,Expected Cap,Std Cap,Exp Cap < 500k,Prob >= 500k,Expected Annual_sharpe,Expected Annual_sortino,Expected MDD,ret VaR,ret CVaR,cap VaR,cap CVaR
alloc_1 10Y,879263.3542114202,163762.91098142276,0.0,1.0,1.6543728564780267,2.262792406152513,0.19912613267668786,-0.009149546082714755,-0.009044488181881638,561351.6735097826,558352.7454208462
alloc_2 10Y,1109996.8637606585,207381.10083704203,0.0,1.0,1.4986292916411421,2.0722404637047553,0.23827817385028116,-0.01171374552401705,-0.011652114884568188,689600.3593505209,689600.359350521
