,Expected Cap,Std Cap,Exp Cap < 500k,Prob >= 500k,Expected Annual_sharpe,Expected Annual_sortino,Expected MDD,ret VaR,ret CVaR,cap VaR,cap CVaR
alloc_1 5Y,219133.7235075537,46755.26792624874,219133.7235075537,0.0,1.5730206105471753,2.074701050347972,0.1678413995860907,0.4177075647141877,0.4093982615725856,-373530.9022384506,-376691.2290751394
alloc_2 5Y,247635.86975453948,52311.36139372643,247635.86975453948,0.0,1.455022434392877,1.9607728768803303,0.19994489554047795,0.5144687544222987,0.478071425570351,-346381.56206429243,-354745.4118715112
