,Expected Cap,Std Cap,Exp Cap < 500k,Prob >= 500k,Expected Annual_sharpe,Expected Annual_sortino,Expected MDD,ret VaR,ret CVaR,cap VaR,cap CVaR
bench6/4 7Y,295693.62477185746,47365.38682668167,295693.62477185746,0.0,1.1036496061471757,1.457103567486485,0.21389023620872255,-0.003886164556808902,-0.0038599611793946886,195340.07334002116,195340.07334002113
bench7/3 7Y,299438.0564722961,45713.35355874256,299438.0564722961,0.0,0.992672167846284,1.334408014260249,0.27720585990951263,-0.003463050125469991,-0.003463050125469991,212277.32314993063,206487.40464433408
bench5/5 7Y,296651.15731979726,51469.91073786148,296651.15731979726,0.0,1.0912327335555532,1.415830420070869,0.16966283668463128,-0.003997510442220964,-0.003997510442220964,194311.59487085624,194311.59487085624
max uti 7Y,400918.669558646,81517.816405817,379310.27178649773,0.142,1.1313760225535292,1.6585258517881596,0.20272650693296593,-0.009801013535984783,-0.009763317697697671,262567.52945787704,251611.66015698627
max sortino 7Y,367340.87567562074,69885.49502485365,365107.46977607557,0.012,1.570764949508844,2.09809396182861,0.150850464337402,-0.008513120785942352,-0.008325947182467855,244253.7821423583,224378.3276789339
min mdd 7Y,356153.9547391579,75899.89750031944,353461.2382425617,0.014,1.5276833319882603,2.062560167159332,0.1367366627530754,-0.007841492880195311,-0.007841492880195311,232434.34963926265,205894.62228439655
mc max uti 7Y,417825.65122253046,73864.14652432318,401266.0295723828,0.114,1.367459217527607,1.8687195806641257,0.21143786081818844,-0.011184956428796695,-0.01095440752532717,251664.29409981082,251664.2940998108
mc max sortino 7Y,361923.58780707757,67300.0347981936,358897.1895041348,0.018,1.5749007744233228,2.0961836578690565,0.18649873249183418,-0.008299650022026712,-0.0077807366559088376,209423.26158846158,209423.26158846158
mc min dd 7Y,314394.6272377531,61816.62118600066,314394.6272377531,0.0,1.0693141593519415,1.5337363034671607,0.12930614563676887,-0.006287353155463693,-0.006287353155463693,204474.25670844302,204196.58464781707
mc max prob 7Y,346170.1282265371,72714.0073769658,343140.325110656,0.016,1.1610435110854318,1.6455832761445517,0.1545078058453856,-0.008184447660956697,-0.008112784812879071,212404.22993831488,212404.22993831482
