,Expected Cap,Std Cap,Exp Cap < 500k,Prob >= 500k,Expected Annual_sharpe,Expected Annual_sortino,Expected MDD,ret VaR,ret CVaR,cap VaR,cap CVaR
bench6/4 5Y,188650.93919522065,37907.91129092215,188650.93919522065,0.0,1.1813230472738177,1.60427719765927,0.17009566356004577,-0.0008570606775761824,-0.0005274998320935253,113133.67333305355,112831.37522776349
bench7/3 5Y,187300.6240568465,35739.29398544058,187300.6240568465,0.0,1.0174074489842069,1.4070840535395577,0.23219731493071064,0.0018583735785930866,0.0018583735785930866,113114.11794414686,111897.24288292535
bench5/5 5Y,187121.1624218842,37349.43872826594,187121.1624218842,0.0,1.1398053910026342,1.5031858140399104,0.1445243443431715,-0.0019082254170965651,-0.0015442320612206245,112410.09446139267,112410.09446139265
max uti 5Y,236769.03092297976,52252.178806652715,236769.03092297976,0.0,1.1587741061588988,1.6776191262402236,0.1874630636737471,-0.007243931763251332,-0.007243931763251332,149366.01324534195,126681.75711099707
max sortino 5Y,223097.88072429394,47320.24764755389,223097.88072429394,0.0,1.6315110194815228,2.150733851226938,0.134320076593889,-0.006576218386558086,-0.006576218386558086,127155.25086633649,124610.8322213257
min mdd 5Y,217421.29454100798,53207.66690855132,217421.29454100798,0.0,1.6125514448964045,2.1419836474094263,0.1238595787495844,-0.0074385700785251085,-0.007187033376750825,119733.33310146732,115924.30663020888
mc max uti 5Y,243498.24261879537,49795.63654479054,243498.24261879537,0.0,1.4158797047058753,1.9208857726182051,0.1849654831233284,-0.006955421041983323,-0.006955421041983323,148978.02291696926,146406.4068346331
mc max sortino 5Y,215980.402647521,45669.303457284565,215980.402647521,0.0,1.6098742980205205,2.12687574932626,0.16354686770519355,-0.005982567709120756,-0.005802624673060401,127669.3748961076,125291.0566660727
mc min dd 5Y,193007.80147416345,43967.823270594796,193007.80147416345,0.0,1.0784798389745163,1.541948429498563,0.12036907012554844,-0.004308198770647782,-0.004167485245853975,114766.50998349824,114766.50998349824
mc max prob 5Y,215370.62672923517,47071.177395290964,215370.62672923517,0.0,1.1983774338485842,1.6777727926837653,0.14032812705256262,-0.006130048306368874,-0.006130048306368874,121943.59899265709,118203.64384647248
