,Expected Cap,Std Cap,Exp Cap < 500k,Prob >= 500k,Expected Annual_sharpe,Expected Annual_sortino,Expected MDD,ret VaR,ret CVaR,cap VaR,cap CVaR
bench6/4 7Y,339168.4237136182,59340.85698237207,339168.4237136182,0.0,1.1131876909296168,1.471298405795499,0.20635375639786635,-0.003886164556808902,-0.0038512267202566175,225587.91890976255,220598.71756895175
bench7/3 7Y,345028.22880573594,56315.61807891392,345028.22880573594,0.0,0.9941061167431517,1.3334709152706168,0.2723629651244077,-0.003463050125469991,-0.003463050125469991,220576.06125897524,220576.0612589752
bench5/5 7Y,336877.16867242043,63439.10879260606,336877.16867242043,0.0,1.1443085335051957,1.491569680001289,0.16208610485373318,-0.004060626207409473,-0.003997510442220964,220223.30459008503,219958.54270258744
max uti 7Y,456398.24851247086,102195.41622680888,394018.84599445283,0.354,1.142894643023899,1.6804270464784308,0.201247528130594,-0.009763317697697671,-0.009763317697697671,265906.1971496835,265906.1971496835
max sortino 7Y,424481.00825000624,92216.51026690932,382102.89666948636,0.262,1.5789145862904477,2.108871060146886,0.1517882482679907,-0.00870164338357979,-0.008400816623857655,272265.37031562557,258105.1119032997
min mdd 7Y,415186.80406252923,96519.6683216252,371889.60782113665,0.248,1.5280793447603584,2.0552553339439203,0.138328630142535,-0.00838912808407044,-0.008183764882617267,259873.98912590335,251033.95407120883
mc max uti 7Y,481452.5334275283,96783.6537682035,417408.1057729633,0.406,1.382723142703899,1.8907631511820808,0.21271933683454095,-0.011187285205599418,-0.011140709669544968,324347.5075632699,280716.6895239951
mc max sortino 7Y,419038.89461485745,83943.85814879998,392395.0105362109,0.174,1.5564272194241178,2.05634647939884,0.1927580442694498,-0.008304891571179418,-0.008114289783808298,280493.7850643664,242937.4140648109
mc min dd 7Y,367636.5831966892,74958.78662854075,364233.6700902425,0.018,1.0516851382563535,1.50327645495597,0.1321710963787137,-0.0065489459767756044,-0.006369205554915647,229984.08504565703,229880.72233403666
mc max prob 7Y,400930.9437606404,88314.72508111075,370993.7193744729,0.19,1.1741099635186945,1.6692084919234242,0.15279107205201434,-0.007982459160013722,-0.007982459160013722,242823.73511015985,242005.16447002348
